Categoría,Cantidad,Referencias,Valor,LCSC Part #,Footprint
Capacitors,13,"C1,C2,C3,C6,C13,C14,C19,C20,C24,C25,C27,C28,C31",100nF,C424828,0603_CAP
Capacitors,3,"C4,C5,C26",220uF,C96175,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,2,"C7,C8",22pF,,0603_CAP
Capacitors,5,"C9,C11,C12,C23,C35",100nF,C307478,0603_CAP
Capacitors,6,"C10,C15,C16,C29,C32,C33",10uF,,CAPC3216X105
Capacitors,1,C17,100n,,0603_CAP
Capacitors,1,C21,470uF,C2836436,CAP SMD 10.5X10MM ALUMINUM 470UF/35V
Capacitors,1,C22,47uF,C250030,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,1,C30,100nF,,1206_CAP
Capacitors,1,C34,10uF,C304002,1206_CAP
Capacitors,1,C36,100n,,1206_CAP
Resistors,2,"R1,R60",1k,,0805_RES
Resistors,2,"R2,R61",220,,0603_RES
Resistors,4,"R3,R59,R62,R63",10k,,0805_RES
Resistors,17,"R4,R7,R8,R9,R11,R12,R30,R31,R37,R45,R46,R53,R58,R66,R69,R70,R77",10k,,0603_RES
Resistors,2,"R5,R44",1K,C269704,0603_RES
Resistors,7,"R6,R25,R26,R27,R28,R56,R57",680,C23228,0603_RES
Resistors,2,"R10,R33",2.2K,,0603_RES
Resistors,8,"R13,R14,R15,R16,R21,R22,R23,R24",4.7K,C23162,0603_RES
Resistors,3,"R17,R19,R20",4.7K,C22962,0603_RES
Resistors,3,"R18,R32,R34",330,,0603_RES
Resistors,2,"R29,R65",100,,0603_RES
Resistors,2,"R35,R36",330,C23228,0603_RES
Resistors,2,"R38,R67",20K,,0603_RES
Resistors,4,"R39,R40,R41,R42",1k,,0603_RES
Resistors,2,"R43,R68",2K,,0603_RES
Resistors,2,"R47,R73",10,,0603_RES
Resistors,2,"R48,R71",1.8K,,0603_RES
Resistors,2,"R49,R72",240,,0603_RES
Resistors,2,"R50,R74",22,,0603_RES
Resistors,2,"R51,R75",15K,,0603_RES
Resistors,2,"R52,R76",51K,,0603_RES
Resistors,2,"R55,R78",1K,,0603_RES
Resistors,1,R64,1k,C269704,0603_RES
Resistors,1,R84,470,C328426,0603_RES
Integrated Circuits,1,U1,74HC14,C507186,SOIC127P780X210-14
Integrated Circuits,1,U2,ESP-32s,,ESP-32S
Integrated Circuits,3,"U3,U4,U6",PC817X3CSP9F,C191932,PC817XI1J
Integrated Circuits,2,"U5,U8",MC7812BDTRKG,C126398,MC7812BDTRKG
Integrated Circuits,1,U7,TS78M05CP,C131137,TS78M05CP
Integrated Circuits,4,"U9,U12,U19,U24",LM358B,,SO8
Integrated Circuits,1,U10,DS3231SN,C9866,SOIC127P1032X265-16N
Integrated Circuits,1,U11,"LM2576-3,3",C194472,TO170P1410X464-6
Integrated Circuits,1,U13,CH340C/G,,SO16
Integrated Circuits,1,U14,LM358N,,SO8
Integrated Circuits,2,"U16,U21",TL431,,SOT23-3
Integrated Circuits,2,"U17,U26",PC817XI1J,,PC817XI1J
Integrated Circuits,1,U18,AT24C512B,C81193,SO8
Integrated Circuits,2,"U20,U23",LM317LF,,SOT89
Integrated Circuits,2,"U22,U25",ICL7660,,SOIC127P600X180-8
Transistors,2,"Q1,Q2","PMBT3904,215",,SOT23-3
Transistors,2,"Q9,Q10",FQD11P06TM,,DPAK-N
Diodes,2,"D01,D02",1n4007 Smd Do-214,C727081,SOD2614X116
Diodes,2,"D3,D5",LED-RED,,LEDC1608X60
Diodes,2,"D4,D6",1N4001,,SMA
Diodes,2,"D28,D29",SS36A,C698867,DIOM5226X230N
Diodes,1,D33,1N4148W,C84367,SOD123
Miscellaneous,7,"12V,220V,4-20-A,4-20-B,OUT1,OUT2,OUT4   OUT3",TBLOCK-M2,,TBLOCK-M2
Miscellaneous,1,BAT1,3V,C964750,BAT 3V EG
Miscellaneous,2,"BTN1,BTN2",RST,,BUTTON SMD 2P
Miscellaneous,1,F1,2A,C182308,FUSE SMD
Miscellaneous,1,FUENTE,TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,2,"JP5,JP6",JUMPER,,CONN-SIL2
Miscellaneous,1,L,100uh,C169389,SMD 12.5X12.5X5MM
Miscellaneous,8,"L01,L02,L03,L04,L05,L06,L07,QO3",LED smd 0603,C84268,LEDC1608X60
Miscellaneous,1,LCD,CONN-H4,C3703,CONN-SIL4
Miscellaneous,1,PINES LIBRES,CONN-SIL18,,CONN-SIL18
Miscellaneous,1,PW,LED-RED,C375458,LEDC2012X120
Miscellaneous,2,"RELAY1,RELAY2",5 Vcc. 10 Amp,C35449,117211503
Miscellaneous,5,"RV1,RV2,RV3,RV4,RV6",10K,,PRE-SQ1
Miscellaneous,5,"S-CAP1,S-CAP2,S-CAP3,S-OPTICO1,S-TEMP1",TBLOCK-M3,,TBLOCK-M3
Miscellaneous,1,ULN2803AG,ULN2803,C2758014,SOP18
Miscellaneous,1,USB-TIPO B-MICRO-SMD,USB-TIPO-B-MICRO-SMD,,0476420001
Miscellaneous,1,X1,12Mhz,,XTAL
